Last time : 2017-04-09 11:54:57 , temperature :  25.75
Last time : 2017-04-09 11:56:46 , temperature :  25.69
Last time : 2017-04-09 11:56:48 , temperature :  25.69
Last time : 2017-04-09 11:56:50 , temperature :  25.69
Last time : 2017-04-09 11:56:52 , temperature :  25.75
Last time : 2017-04-09 11:56:53 , temperature :  25.75
Last time : 2017-04-09 11:56:55 , temperature :  25.75
Last time : 2017-04-09 11:56:57 , temperature :  25.69
Last time : 2017-04-09 11:56:59 , temperature :  25.69
Last time : 2017-04-09 11:57:01 , temperature :  25.69
Last time : 2017-04-09 11:57:03 , temperature :  25.75
Last time : 2017-04-09 11:57:05 , temperature :  25.69
Last time : 2017-04-09 11:57:07 , temperature :  25.69
Last time : 2017-04-09 11:57:09 , temperature :  25.69
Last time : 2017-04-09 11:57:11 , temperature :  25.69
Last time : 2017-04-09 11:57:12 , temperature :  25.75
Last time : 2017-04-09 11:57:14 , temperature :  25.69
Last time : 2017-04-09 11:57:16 , temperature :  25.69
Last time : 2017-04-09 11:57:18 , temperature :  25.75
Last time : 2017-04-09 11:57:20 , temperature :  25.75
Last time : 2017-04-09 11:57:21 , temperature :  25.69
Last time : 2017-04-09 11:57:23 , temperature :  25.69
Last time : 2017-04-09 11:57:25 , temperature :  25.69
Last time : 2017-04-09 11:57:27 , temperature :  25.69
Last time : 2017-04-09 11:57:29 , temperature :  25.75
Last time : 2017-04-09 11:57:31 , temperature :  25.75
Last time : 2017-04-09 11:57:32 , temperature :  25.75
Last time : 2017-04-09 11:57:34 , temperature :  25.69
Last time : 2017-04-09 11:57:36 , temperature :  25.69
Last time : 2017-04-09 11:57:38 , temperature :  25.75
Last time : 2017-04-09 11:57:40 , temperature :  25.69
Last time : 2017-04-09 11:57:42 , temperature :  25.69
Last time : 2017-04-09 11:57:43 , temperature :  25.69
Last time : 2017-04-09 11:57:45 , temperature :  25.69
Last time : 2017-04-09 11:57:47 , temperature :  25.69
Last time : 2017-04-09 11:57:49 , temperature :  25.75
Last time : 2017-04-09 11:57:51 , temperature :  25.69
Last time : 2017-04-09 11:57:52 , temperature :  25.69
Last time : 2017-04-09 11:57:54 , temperature :  25.69
Last time : 2017-04-09 11:57:56 , temperature :  25.75
Last time : 2017-04-09 11:57:58 , temperature :  25.69
Last time : 2017-04-09 11:58:00 , temperature :  25.75
Last time : 2017-04-09 11:58:02 , temperature :  25.75
Last time : 2017-04-09 11:58:03 , temperature :  25.69
Last time : 2017-04-09 11:58:05 , temperature :  25.69
Last time : 2017-04-09 11:58:07 , temperature :  25.69
Last time : 2017-04-09 11:58:09 , temperature :  25.69
Last time : 2017-04-09 11:58:11 , temperature :  25.69
Last time : 2017-04-09 11:58:12 , temperature :  25.69
Last time : 2017-04-09 11:58:14 , temperature :  25.75
Last time : 2017-04-09 11:58:16 , temperature :  25.75
Last time : 2017-04-09 11:58:18 , temperature :  25.69
Last time : 2017-04-09 11:58:20 , temperature :  25.69
Last time : 2017-04-09 11:58:22 , temperature :  25.75
Last time : 2017-04-09 11:58:23 , temperature :  25.75
Last time : 2017-04-09 11:58:25 , temperature :  25.75
Last time : 2017-04-09 11:58:27 , temperature :  25.69
Last time : 2017-04-09 11:58:29 , temperature :  25.69
Last time : 2017-04-09 11:58:31 , temperature :  25.75
Last time : 2017-04-09 11:58:33 , temperature :  25.69
Last time : 2017-04-09 11:58:34 , temperature :  25.75
Last time : 2017-04-09 11:58:36 , temperature :  25.69
Last time : 2017-04-09 11:58:38 , temperature :  25.75
Last time : 2017-04-09 11:58:40 , temperature :  25.69
Last time : 2017-04-09 11:58:42 , temperature :  25.75
Last time : 2017-04-09 11:58:43 , temperature :  25.75
Last time : 2017-04-09 11:58:45 , temperature :  25.75
Last time : 2017-04-09 11:58:47 , temperature :  25.75
Last time : 2017-04-09 11:58:49 , temperature :  25.75
Last time : 2017-04-09 11:58:51 , temperature :  25.75
Last time : 2017-04-09 11:58:52 , temperature :  25.75
Last time : 2017-04-09 11:58:54 , temperature :  25.75
Last time : 2017-04-09 11:58:56 , temperature :  25.75
Last time : 2017-04-09 11:58:58 , temperature :  25.75
Last time : 2017-04-09 11:59:00 , temperature :  25.75
Last time : 2017-04-09 11:59:02 , temperature :  25.75
Last time : 2017-04-09 11:59:03 , temperature :  25.69
Last time : 2017-04-09 11:59:05 , temperature :  25.75
Last time : 2017-04-09 11:59:07 , temperature :  25.75
Last time : 2017-04-09 11:59:09 , temperature :  25.75
Last time : 2017-04-09 11:59:11 , temperature :  25.75
Last time : 2017-04-09 11:59:13 , temperature :  25.75
Last time : 2017-04-09 11:59:14 , temperature :  25.75
Last time : 2017-04-09 11:59:16 , temperature :  25.75
Last time : 2017-04-09 11:59:18 , temperature :  25.75
Last time : 2017-04-09 11:59:20 , temperature :  25.75
Last time : 2017-04-09 11:59:22 , temperature :  25.75
Last time : 2017-04-09 11:59:23 , temperature :  25.75
Last time : 2017-04-09 11:59:25 , temperature :  25.75
Last time : 2017-04-09 11:59:27 , temperature :  25.75
Last time : 2017-04-09 11:59:30 , temperature :  25.75
Last time : 2017-04-09 11:59:32 , temperature :  25.75
Last time : 2017-04-09 11:59:34 , temperature :  25.75
Last time : 2017-04-09 11:59:35 , temperature :  25.75
Last time : 2017-04-09 11:59:37 , temperature :  25.75
Last time : 2017-04-09 11:59:39 , temperature :  25.75
Last time : 2017-04-09 11:59:41 , temperature :  25.75
Last time : 2017-04-09 11:59:43 , temperature :  25.75
Last time : 2017-04-09 11:59:45 , temperature :  25.75
Last time : 2017-04-09 11:59:46 , temperature :  25.75
Last time : 2017-04-09 11:59:48 , temperature :  25.75
Last time : 2017-04-09 11:59:50 , temperature :  25.75
Last time : 2017-04-09 11:59:52 , temperature :  25.75
Last time : 2017-04-09 11:59:54 , temperature :  25.75
Last time : 2017-04-09 11:59:55 , temperature :  25.75
Last time : 2017-04-09 11:59:57 , temperature :  25.75
Last time : 2017-04-09 11:59:59 , temperature :  25.75
Last time : 2017-04-09 12:00:01 , temperature :  25.75
Last time : 2017-04-09 12:00:03 , temperature :  25.75
Last time : 2017-04-09 12:00:05 , temperature :  25.75
Last time : 2017-04-09 12:00:06 , temperature :  25.75
Last time : 2017-04-09 12:00:08 , temperature :  25.75
Last time : 2017-04-09 12:00:10 , temperature :  25.75
Last time : 2017-04-09 12:00:12 , temperature :  25.75
Last time : 2017-04-09 12:00:14 , temperature :  25.75
Last time : 2017-04-09 12:00:16 , temperature :  25.75
Last time : 2017-04-09 12:00:17 , temperature :  25.75
Last time : 2017-04-09 12:00:19 , temperature :  25.75
Last time : 2017-04-09 12:00:21 , temperature :  25.75
Last time : 2017-04-09 12:00:23 , temperature :  25.75
Last time : 2017-04-09 12:00:25 , temperature :  25.75
Last time : 2017-04-09 12:00:26 , temperature :  25.75
Last time : 2017-04-09 12:00:29 , temperature :  25.75
Last time : 2017-04-09 12:00:31 , temperature :  25.75
Last time : 2017-04-09 12:00:33 , temperature :  25.75
Last time : 2017-04-09 12:00:36 , temperature :  25.75
Last time : 2017-04-09 12:00:37 , temperature :  25.75
Last time : 2017-04-09 12:00:39 , temperature :  25.75
Last time : 2017-04-09 12:00:41 , temperature :  25.75
Last time : 2017-04-09 12:00:43 , temperature :  25.75
Last time : 2017-04-09 12:00:45 , temperature :  25.75
Last time : 2017-04-09 12:00:47 , temperature :  25.69
Last time : 2017-04-09 12:00:48 , temperature :  25.69
Last time : 2017-04-09 12:00:50 , temperature :  25.69
Last time : 2017-04-09 12:00:52 , temperature :  25.75
Last time : 2017-04-09 12:00:54 , temperature :  25.69
Last time : 2017-04-09 12:00:56 , temperature :  25.75
Last time : 2017-04-09 12:00:58 , temperature :  25.69
Last time : 2017-04-09 12:00:59 , temperature :  25.69
Last time : 2017-04-09 12:01:01 , temperature :  25.69
Last time : 2017-04-09 12:01:03 , temperature :  25.69
Last time : 2017-04-09 12:01:05 , temperature :  25.69
Last time : 2017-04-09 12:01:07 , temperature :  25.69
Last time : 2017-04-09 12:01:09 , temperature :  25.69
Last time : 2017-04-09 12:01:10 , temperature :  25.69
Last time : 2017-04-09 12:01:12 , temperature :  25.69
Last time : 2017-04-09 12:01:15 , temperature :  25.69
Last time : 2017-04-09 12:01:17 , temperature :  25.69
Last time : 2017-04-09 12:01:18 , temperature :  25.69
Last time : 2017-04-09 12:01:20 , temperature :  25.69
Last time : 2017-04-09 12:01:22 , temperature :  25.69
Last time : 2017-04-09 12:01:24 , temperature :  25.69
Last time : 2017-04-09 12:01:26 , temperature :  25.69
Last time : 2017-04-09 12:01:28 , temperature :  25.69
Last time : 2017-04-09 12:01:30 , temperature :  25.69
Last time : 2017-04-09 12:01:32 , temperature :  25.69
Last time : 2017-04-09 12:01:34 , temperature :  25.69
Last time : 2017-04-09 12:01:36 , temperature :  25.69
Last time : 2017-04-09 12:01:38 , temperature :  25.69
Last time : 2017-04-09 12:03:25 , temperature :  26.00
Last time : 2017-04-09 12:03:52 , temperature :  26.00
Last time : 2017-04-09 12:03:53 , temperature :  26.00
Last time : 2017-04-09 12:03:55 , temperature :  25.94
Last time : 2017-04-09 12:03:57 , temperature :  25.94
Last time : 2017-04-09 12:03:59 , temperature :  25.94
Last time : 2017-04-09 12:04:01 , temperature :  25.94
Last time : 2017-04-09 12:04:03 , temperature :  25.88
Last time : 2017-04-09 12:04:05 , temperature :  25.88
Last time : 2017-04-09 12:04:06 , temperature :  25.88
Last time : 2017-04-09 12:04:08 , temperature :  25.88
Last time : 2017-04-09 12:04:10 , temperature :  25.88
Last time : 2017-04-09 12:04:12 , temperature :  25.81
Last time : 2017-04-09 12:04:14 , temperature :  25.81
Last time : 2017-04-09 12:04:15 , temperature :  25.81
Last time : 2017-04-09 12:04:17 , temperature :  25.81
Last time : 2017-04-09 12:04:19 , temperature :  25.81
Last time : 2017-04-09 12:04:21 , temperature :  25.81
Last time : 2017-04-09 12:04:23 , temperature :  25.81
Last time : 2017-04-09 12:04:25 , temperature :  25.81
Last time : 2017-04-09 12:04:26 , temperature :  25.81
Last time : 2017-04-09 12:04:28 , temperature :  25.81
Last time : 2017-04-09 12:04:30 , temperature :  25.75
Last time : 2017-04-09 12:04:32 , temperature :  25.75
Last time : 2017-04-09 12:04:34 , temperature :  25.75
Last time : 2017-04-09 12:04:36 , temperature :  25.75
Last time : 2017-04-09 12:04:37 , temperature :  25.75
Last time : 2017-04-09 12:04:39 , temperature :  25.75
Last time : 2017-04-09 12:04:41 , temperature :  25.75
Last time : 2017-04-09 12:04:43 , temperature :  25.75
Last time : 2017-04-09 12:04:45 , temperature :  25.69
Last time : 2017-04-09 12:04:47 , temperature :  25.75
Last time : 2017-04-09 12:04:48 , temperature :  25.69
Last time : 2017-04-09 12:04:50 , temperature :  25.69
Last time : 2017-04-09 12:04:52 , temperature :  25.69
Last time : 2017-04-09 12:04:54 , temperature :  25.69
Last time : 2017-04-09 12:04:56 , temperature :  25.69
Last time : 2017-04-09 12:04:58 , temperature :  25.69
Last time : 2017-04-09 12:05:00 , temperature :  25.69
Last time : 2017-04-09 12:05:01 , temperature :  25.69
Last time : 2017-04-09 12:05:03 , temperature :  25.69
Last time : 2017-04-09 12:05:05 , temperature :  25.69
Last time : 2017-04-09 12:05:07 , temperature :  25.69
Last time : 2017-04-09 12:05:09 , temperature :  25.69
Last time : 2017-04-09 12:05:10 , temperature :  25.69
Last time : 2017-04-09 12:05:12 , temperature :  25.69
Last time : 2017-04-09 12:05:14 , temperature :  25.62
Last time : 2017-04-09 12:05:16 , temperature :  25.62
Last time : 2017-04-09 12:05:18 , temperature :  25.62
Last time : 2017-04-09 12:05:20 , temperature :  25.62
Last time : 2017-04-09 12:05:21 , temperature :  25.62
Last time : 2017-04-09 12:05:23 , temperature :  25.62
Last time : 2017-04-09 12:05:25 , temperature :  25.62
Last time : 2017-04-09 12:05:27 , temperature :  25.62
Last time : 2017-04-09 12:05:29 , temperature :  25.62
Last time : 2017-04-09 12:05:30 , temperature :  25.62
Last time : 2017-04-09 12:05:32 , temperature :  25.62
Last time : 2017-04-09 12:05:34 , temperature :  25.62
Last time : 2017-04-09 12:05:36 , temperature :  25.62
Last time : 2017-04-09 12:05:38 , temperature :  25.62
Last time : 2017-04-09 12:05:40 , temperature :  25.62
Last time : 2017-04-09 12:05:41 , temperature :  25.62
Last time : 2017-04-09 12:05:43 , temperature :  25.56
Last time : 2017-04-09 12:05:45 , temperature :  25.56
Last time : 2017-04-09 12:05:47 , temperature :  25.62
Last time : 2017-04-09 12:05:49 , temperature :  25.62
Last time : 2017-04-09 12:05:50 , temperature :  25.56
Last time : 2017-04-09 12:05:52 , temperature :  25.56
Last time : 2017-04-09 12:05:54 , temperature :  25.56
Last time : 2017-04-09 12:05:56 , temperature :  25.56
Last time : 2017-04-09 12:05:58 , temperature :  25.56
Last time : 2017-04-09 12:06:00 , temperature :  25.56
Last time : 2017-04-09 12:06:02 , temperature :  25.56
Last time : 2017-04-09 12:06:04 , temperature :  25.56
Last time : 2017-04-09 12:06:06 , temperature :  25.56
Last time : 2017-04-09 12:06:08 , temperature :  25.56
Last time : 2017-04-09 12:06:10 , temperature :  25.56
Last time : 2017-04-09 12:06:11 , temperature :  25.56
Last time : 2017-04-09 12:06:13 , temperature :  25.56
Last time : 2017-04-09 12:06:15 , temperature :  25.56
Last time : 2017-04-09 12:06:18 , temperature :  25.56
Last time : 2017-04-09 12:06:20 , temperature :  25.56
Last time : 2017-04-09 12:06:22 , temperature :  25.56
Last time : 2017-04-09 12:06:23 , temperature :  25.56
Last time : 2017-04-09 12:06:25 , temperature :  25.56
Last time : 2017-04-09 12:06:27 , temperature :  25.56
Last time : 2017-04-09 12:06:29 , temperature :  25.56
Last time : 2017-04-09 12:06:31 , temperature :  25.56
Last time : 2017-04-09 12:06:32 , temperature :  25.56
Last time : 2017-04-09 12:06:34 , temperature :  25.56
Last time : 2017-04-09 12:06:36 , temperature :  25.56
Last time : 2017-04-09 12:06:38 , temperature :  25.56
Last time : 2017-04-09 12:06:40 , temperature :  25.56
Last time : 2017-04-09 12:07:16 , temperature :  25.44
Last time : 2017-04-09 12:07:18 , temperature :  25.44
Last time : 2017-04-09 12:07:21 , temperature :  25.44
Last time : 2017-04-09 12:07:23 , temperature :  25.44
Last time : 2017-04-09 12:07:25 , temperature :  25.44
Last time : 2017-04-09 12:07:27 , temperature :  25.44
Last time : 2017-04-09 12:07:30 , temperature :  25.44
Last time : 2017-04-09 12:07:32 , temperature :  25.44
Last time : 2017-04-09 12:07:34 , temperature :  25.44
Last time : 2017-04-09 12:07:36 , temperature :  25.44
Last time : 2017-04-09 12:07:38 , temperature :  25.44
Last time : 2017-04-09 12:07:41 , temperature :  25.44
Last time : 2017-04-09 12:07:43 , temperature :  25.44
Last time : 2017-04-09 12:07:45 , temperature :  25.44
Last time : 2017-04-09 12:07:47 , temperature :  25.44
Last time : 2017-04-09 12:07:53 , temperature :  25.44
Last time : 2017-04-09 12:07:55 , temperature :  25.44
Last time : 2017-04-09 12:07:57 , temperature :  25.44
Last time : 2017-04-09 12:08:00 , temperature :  25.44
Last time : 2017-04-09 12:08:02 , temperature :  25.44
Last time : 2017-04-09 12:08:04 , temperature :  25.44
Last time : 2017-04-09 12:10:07 , temperature :  25.31
Last time : 2017-04-09 12:11:34 , temperature :  25.31
Last time : 2017-04-09 12:11:45 , temperature :  25.31
Last time : 2017-04-09 12:11:56 , temperature :  25.31
Last time : 2017-04-09 12:12:08 , temperature :  25.31
Last time : 2017-04-09 12:12:19 , temperature :  25.44
Last time : 2017-04-09 12:12:30 , temperature :  25.56
Last time : 2017-04-09 12:12:41 , temperature :  25.69
Last time : 2017-04-09 12:12:53 , temperature :  25.75
Last time : 2017-04-09 12:13:04 , temperature :  25.88
Last time : 2017-04-09 12:13:15 , temperature :  25.94
Last time : 2017-04-09 12:13:26 , temperature :  26.00
Last time : 2017-04-09 12:13:37 , temperature :  26.06
Last time : 2017-04-09 12:13:49 , temperature :  85.00
Last time : 2017-04-09 12:14:00 , temperature :  26.12
Last time : 2017-04-09 12:14:11 , temperature :  -127.00
Last time : 2017-04-09 12:14:22 , temperature :  26.19
Last time : 2017-04-09 12:14:34 , temperature :  26.25
Last time : 2017-04-09 12:14:45 , temperature :  26.31
Last time : 2017-04-09 12:14:56 , temperature :  26.31
Last time : 2017-04-09 12:15:07 , temperature :  26.37
Last time : 2017-04-09 12:15:18 , temperature :  26.37
Last time : 2017-04-09 12:15:30 , temperature :  26.44
Last time : 2017-04-09 12:15:41 , temperature :  26.44
Last time : 2017-04-09 12:15:52 , temperature :  26.44
Last time : 2017-04-09 12:16:03 , temperature :  26.44
Last time : 2017-04-09 12:16:15 , temperature :  26.44
Last time : 2017-04-09 12:16:26 , temperature :  26.50
Last time : 2017-04-09 12:16:37 , temperature :  26.50
Last time : 2017-04-09 12:16:48 , temperature :  26.50
Last time : 2017-04-09 12:17:00 , temperature :  26.44
Last time : 2017-04-09 12:17:12 , temperature :  26.44
Last time : 2017-04-09 12:17:23 , temperature :  26.44
Last time : 2017-04-09 12:17:34 , temperature :  26.44
Last time : 2017-04-09 12:17:45 , temperature :  26.44
Last time : 2017-04-09 12:17:56 , temperature :  26.50
Last time : 2017-04-09 12:18:08 , temperature :  26.50
Last time : 2017-04-09 12:18:19 , temperature :  26.50
Last time : 2017-04-09 12:18:30 , temperature :  26.50
Last time : 2017-04-09 12:18:41 , temperature :  26.50
Last time : 2017-04-09 12:18:53 , temperature :  26.56
Last time : 2017-04-09 12:19:04 , temperature :  26.56
Last time : 2017-04-09 12:19:15 , temperature :  26.56
Last time : 2017-04-09 12:19:26 , temperature :  26.56
Last time : 2017-04-09 12:19:37 , temperature :  26.56
Last time : 2017-04-09 12:19:49 , temperature :  26.56
Last time : 2017-04-09 12:20:00 , temperature :  26.62
Last time : 2017-04-09 12:20:11 , temperature :  26.62
Last time : 2017-04-09 12:20:22 , temperature :  26.62
Last time : 2017-04-09 12:20:34 , temperature :  26.62
Last time : 2017-04-09 12:20:45 , temperature :  26.62
Last time : 2017-04-09 12:20:56 , temperature :  26.62
Last time : 2017-04-09 12:21:07 , temperature :  26.69
Last time : 2017-04-09 12:21:19 , temperature :  26.69
Last time : 2017-04-09 12:21:30 , temperature :  26.69
Last time : 2017-04-09 12:21:41 , temperature :  26.69
Last time : 2017-04-09 12:21:52 , temperature :  26.69
Last time : 2017-04-09 12:22:04 , temperature :  26.69
Last time : 2017-04-09 12:22:15 , temperature :  26.62
Last time : 2017-04-09 12:22:27 , temperature :  26.56
